,Supplier,Recipient,No,Weapon,Description,Year,Year(s),Delivered,Comments
3,Albania, Burkina Faso,12,M-43 120mm,Mortar,2011,2011,12,Probably second-hand
6,Algeria, Angola,4,N-262 Fregate,Transport aircraft,1980,1980,4,Second-hand; incl for MP
7,Algeria,     Nigeria,2,Il-28,Bomber aircraft,1967,1968,2,Second-hand
8,Algeria,     Western Sahara,3,BTR-60PB,APC,2016,2016,3,Second-hand; aid
11,Angola, Congo,1,Noratlas,Transport aircraft,1979,1979,1,Second-hand; aid
12,Angola,     Cote d'Ivoire,2,BMP-2,IFV,2002,2002,2,Second-hand; for use against fight rebels
14,Angola,     Guinea-Bissau,1,Do-27,Light aircraft,1980,1980,1,Second-hand; status uncertain
15,Angola,     United States,250,FIM-92 Stinger,Portable SAM,1992,1992,250,Second-hand; delivered in 1980s as aid to UNITA and bought back after peace agreement in Angola
18,Argentina, Bolivia,37,M-3/M-5 Half-track,APC,2006,2006,37,Second-hand; aid; M-5 and M-9 versions
19,Argentina,     Colombia,3,IA-58A Pucara,Ground attack ac,1989,1990,3,Second-hand; aid; for anti-narcotics operations
20,Argentina,     Denmark,1,Lynx,ASW helicopter,1987,1987,1,Second-hand; $3.5 m deal
22,Argentina,     Ecuador,18,M-101A1 105mm,Towed gun,1995,1995,18,Second-hand but modernized before delivery; part of illegal $34 m deal
23,Argentina,     Honduras,60,MO-120-M65 120mm,Mortar,1980,1981-1983,60,
24,Argentina,     Paraguay,3,CV-440,Transport aircraft,1962,1962,3,Second-hand; $0.7 m deal; CV-440 version
34,Argentina,     Spain,1,CH-47C Chinook,Transport helicopter,2001,2001,1,Second-hand
35,Argentina,     Sri Lanka,4,IA-58A Pucara,Ground attack ac,1992,1993-1994,4,$11 m deal; produced 1980s on speculation for export and sold to Sri Lanka 1992
36,Argentina,     Uruguay,2,T-6 Texan,Trainer aircraft,1969,1970,2,Second-hand
46,Armenia, Sudan,1,An-32,Transport aircraft,2005,2006,1,Second-hand; probably; ordered via Ukraine; modernized before delivery in Ukraine; for police
49,Aruba, Israel,1,Boeing-707,Transport aircraft,1996,1996,1,Second-hand; for modification to tanker/transport aircraft in Israel
52,Australia, India,11,Thornycroft 26m,Patrol craft,2004,2006-2011,11,For coast guard
53,Australia,     Jordan,6,SB7L-360 Seeker,Light aircraft,2006,2006,6,Assembled from kits
54,Australia,     Malaysia,3,Eagle-ARV,UAV/light aircraft,2000,2001,3,For 1 Eagle-ARV UAV system
55,Australia,     New Zealand,2,Tenix-1600,OPV,2004,2010,2,Part of NZD500 m ($317 m) 'Project Protector'; partly produced in New Zealand and assembled in Australia; New Zealand designation Otago
57,Australia,     United Kingdom,600,Ikara,ASW missile,1970,1973-1977,600,
59,Australia,     United States,1,EPF,Transport ship,2008,2012,1,$185 m deal (part of $1.6 b 'JHSV' (Joint High Speed Vessel) programme)
61,Australia,     Brazil,50,Ikara,ASW missile,1972,1976-1980,50,For 4 Niteroi frigates; Ikara-3 version
62,Australia,     Brunei,2,Teraban,Landing craft,1995,1996,2,
63,Australia,     Cambodia,6,DC-3/C-47 Skytrain,Transport aircraft,1971,1972,6,Second-hand; aid
64,Australia,     Canada,18,F/A-18C Hornet,FGA aircraft,2018,2019,6,Second-hand (7 more ordered for spare parts); delivery planned 2019-2021
65,Australia,     Chad,1,C-130B Hercules,Transport aircraft,1983,1983,1,Second-hand C-130A version (financed by France)
66,Australia,     Chile,2,Perry,Frigate,2019,,,Second-hand
67,Australia,     Fiji,3,ASI-315,Patrol craft,1992,1994-1995,3,'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Fijian designation Kula
70,Australia,     Ghana,2,SB7L-360 Seeker,Light aircraft,2004,2006,2,From Jordanian production line
71,Australia,     India,10,Canberra B-2,Bomber aircraft,1970,1970-1971,10,Second-hand; Canberra B(-20 version
73,Australia,     Indonesia,2,Cessna-310,Light aircraft,1967,1969,2,Second-hand
92,Australia,     Iraq,2,SB7L-360 Seeker,Light aircraft,2004,2004,2,AUD2.8 m ($2 m) deal; ordered via and assembled in Jordan
93,Australia,     Jamaica,12,Bushmaster,APC,2013,2015-2016,12,
94,Australia,     Japan,4,Bushmaster,APC,2014,2014,4,AUD3.6 m ($2.7 m) deal
96,Australia,     Kiribati,1,ASI-315,Patrol craft,1992,1994,1,'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Kiribati designation Teanoai
98,Australia,     Kuwait,2,OPV-310,Patrol craft,1991,1993,2,Kuwaiti designation Inttisar
101,Australia,     Laos,3,DC-3/C-47 Skytrain,Transport aircraft,1970,1971,3,Second-hand; aid
102,Australia,     Lesotho,1,GA-8 Airvan,Light aircraft,2003,2004,1,
103,Australia,     Malaysia,10,F-86F Sabre,Fighter aircraft,1969,1969,10,Second-hand; aid; modernized before delivery; CAC-27/Sabre Mk-32 version
105,Australia,     Marshall Islands,1,ASI-315,Patrol craft,1989,1991,1,'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Marshall Islands designation Lomor
107,Australia,     Micronesia,2,ASI-315,Patrol craft,1989,1990,2,'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Micronesian designation Palikir
110,Australia,     Nepal,2,DC-3/C-47 Skytrain,Transport aircraft,1970,1971,2,Second-hand; incl 1 for VIP transport
111,Australia,     Netherlands,2,DC-3/C-47 Skytrain,Transport aircraft,1962,1962,2,Second-hand
120,Australia,     New Zealand,4,Bathurst,Minesweeper/corvette,1952,1952,4,Second-hand; aid
126,Australia,     Oman,2,HSSV-72,Transport ship,2014,2016,2,AUD125 m deal
127,Australia,     Pakistan,45,Mirage-3E,FGA aircraft,1990,1990-1991,45,Second-hand; $28 m deal; Mirage-3OA version; incl some Mirage-3OD; modernized in Pakistan after delivery; 5 more for for spares only
128,Australia,     Palau,1,ASI-315,Patrol craft,1995,1996,1,'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Palau designation Remeliik
130,Australia,     Papua New Guinea,4,DC-3/C-47 Skytrain,Transport aircraft,1974,1975,4,Second-hand; aid upon independence
141,Australia,     Philippines,11,Nomad,Light transport ac,1974,1975-1976,11,N-22B version
146,Australia,     Samoa,1,ASI-315,Patrol craft,1985,1988,1,'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Samoan designation Nafanua
148,Australia,     Singapore,100,R-600,IFV turret,2009,2010-2011,100,AUD28 m ($22 m) deal; for Terrex APC/IFV produced in Singapore
150,Australia,     Solomon Islands,1,ASI-315,Patrol craft,1985,1988,1,'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Solomon Islands designation Lata
153,Australia,     Sri Lanka,2,Bay,Patrol craft,2014,2014,2,Second-hand; aid
154,Australia,     Sweden,2,Saab-340,Transport aircraft,2003,2003,2,Second-hand; Saab-340BPlus version; Swedish designation Tp-100C
155,Australia,     Thailand,21,Nomad,Light transport ac,1981,1982-1984,21,$33 m deal; possibly incl 4 second-hand
158,Australia,     Timor-Leste,2,Guardian,Patrol craft,2017,,,Aid; delivery planned 2023
159,Australia,     Tonga,3,ASI-315,Patrol craft,1988,1989-1991,3,'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Tongan designation Neiafu
162,Australia,     Trinidad and Tobago,6,Austal-30m,Patrol craft,2008,2010,6,For coast guard
164,Australia,     Tuvalu,1,ASI-315,Patrol craft,1992,1994,1,'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Tuvaluan designation Te Mataili
166,Australia,     UAE,,R-400S,IFV turret,2019,,,AED1.6 b ($316 m) deal; probably incl for Nimr APC/IFV produced in UAE
167,Australia,     United Kingdom,1,Tide,Support ship,1955,1955,1,Australian designation Supply; built for Australia but after completion in 1955 on loan to UK until 1962
170,Australia,     United States,7,Boeing-707,Transport aircraft,1985,1986-1987,7,Second-hand; Boeing-707-338C version; modified in USA to E-8C J-STARS AEW&C aircraft
178,Australia,     Vanuatu,1,ASI-315,Patrol craft,1985,1987,1,'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Vanuatuan designation Tukoro
180,Australia,     Yemen,10,P-1022,Patrol craft,2003,2005,10,AUD90 m ($55-70 m) deal
183,Austria, Australia,8,DA40,Light aircraft,2018,2019,8,DA40NG version; for training; incl 6 from Canadian production line
184,Austria,     Uganda,6,Bell-206/OH-58,Light helicopter,2009,2009-2010,6,Second-hand; AB-2016B-3 version; delivered via FRG company
185,Austria,     Argentina,4,SK-105 Kurassier,Light tank,2006,2007,4,SK-105 chassis; fitted with turret from AMX-13 tank in Argentina; Argentine designation Patagon
186,Austria,     Belgium,54,Pandur,APC,1997,1998-2000,54,"$42 m deal (offsets 100% incl production of componets and assembly in Belgium); incl 5 command post, 4 ARV and 4 ambulance version"
188,Austria,     Czechia,20,Pandur-2,APC,2017,2019,4,CZK2.1 b ($82 m) deal; produced in Czech Republic; incl 6 command post and 14 communications version; delivery planned 2019-2020
189,Austria,     Greece,100,4K-4F,APC,1981,1982-1984,100,Greek designation Leonidas-1
191,Austria,     Indonesia,22,Pandur-2,IFV,2019,,,$80 m deal; from Czech production line; Indonesian designation Cobra; delivery planned by 2021
192,Austria,     Portugal,158,Pandur-2,APC,2005,2007-2016,158,"Incl ambulance, ARV, command post, mortar carrier and anti-tank versions"
194,Austria,     Saudi Arabia,50,MMV,APC,2014,2015-2016,50,
195,Austria,     Slovenia,36,Pandur,APC,1998,1999-2003,36,Hull produced and vehicle assembled in Slovenia; Slovenian designation Valuk
197,Austria,     Spain,100,SP30,IFV turret,2003,2009-2013,100,For some 100 ASCOD (Pizarro) IFV produced in Spain
198,Austria,     UAE,60,Camcopter S-100,UAV,2006,2006-2010,60,Incl production of components in UAE; UAE designation Al Saber
199,Austria,     United States,33,Pandur,APC,1999,2000-2007,33,US designation AGMS (Armored Ground Mobility System)
200,Austria,     Argentina,93,SK-105 Kurassier,Light tank,1978,1978-1979,93,No. could be 49 or 70
204,Austria,     Australia,2,Camcopter S-100,UAV,2016,2017-2018,2,AUD16 m ($12 m) 'Minor Project'
205,Austria,     Bangladesh,6,DA40,Light aircraft,2017,2019,4,DA40NG version
206,Austria,     Bolivia,6,4K-7FA,APC,1977,1978,6,
210,Austria,     Botswana,20,SK-105 Kurassier,Light tank,1997,2000,20,Part of ASH500 m deal; option on 30 more not used
212,Austria,     Brazil,1,Greif,ARV,2000,2001,1,
214,Austria,     Burkina Faso,1,DA42MPP,Reconnaissance ac,2015,2016,1,
215,Austria,     Czechia,107,Pandur-2,APC,2009,2009-2013,107,"CZK14.4 b ($650 m; offsets 150% incl assembly of 90 in Czech Republic) deal; incl 11 command post, 4 ARV and 4 ambulance version"
216,Austria,     Egypt,4,Camcopter S-100,UAV,2001,2002,4,Financed by US 'FMF' aid
218,Austria,     France,12,M-16,Diesel engine,1999,2000,12,For 12 Bv-206S APC from Sweden
221,Austria,     Gabon,6,CM-170 Magister,Trainer aircraft,1976,1978,6,Second-hand; sold to via French producer and modernized in France before delivery; for Presidential Guard
223,Austria,     Germany,31,M-16,Diesel engine,2002,2003-2004,31,For 31 Bv-206S APC from Sweden
226,Austria,     Ghana,2,DA42MPP,Reconnaissance ac,2011,2011,2,EUR11.8 m deal
228,Austria,     Indonesia,3,Pandur-2,APC,2016,2017,3,Probably from Czech production line
230,Austria,     Iran,200,CG-45 155mm,Towed gun,1984,1985,200,GHN-45 version; illegally delivered to Iran (officially ordered by and delivered to Libya to circumvent arms embargo on Iran); originally produced for expected Indian order
231,Austria,     Iraq,200,CG-45 155mm,Towed gun,1981,1981-1986,200,GHN-45 version; illegally delivered to Iraq (officially ordered by and delivered to Jordan to circumvent arms embargo on Iraq)
232,Austria,     Israel,2,S-65A/CH-53 Stallion,Transport helicopter,1981,1981,2,Second-hand; S-65OE version
233,Austria,     Italy,2,M-16,Diesel engine,2000,2001,2,For 2 Bv-206S APC from Sweden
235,Austria,     Jamaica,2,DA42,Light aircraft,2011,2013,2,DA-42NG version; for training
237,Austria,     Jordan,12,Camcopter S-100,UAV,2010,2011-2012,12,
238,Austria,     Kuwait,40,Pandur,APC,1996,1997-1999,40,"Part of $170 m deal; from US production line; for National Guard; CP, 81mm mortar carrier, ARV and ambulance versions; option on more not used"
243,Austria,     Latvia,47,M-109A5 155mm,Self-propelled gun,2017,2017-2018,47,Second-hand
244,Austria,     Libya,30,CG-45 155mm,Towed gun,1987,1987,30,"Originally ordered by Brazil, but finally delivered to Libya"
246,Austria,     Montenegro,4,Survivor-2,APC,2014,2015,4,
247,Austria,     Morocco,11,Greif,ARV,1978,1979,11,
249,Austria,     Myanmar,5,Camcopter S-100,UAV,2017,2018,5,EUR87 m deal
250,Austria,     Niger,2,DA42MPP,Reconnaissance ac,2008,2008,2,
251,Austria,     Nigeria,2,S-55,Helicopter,1967,1967,2,Second-hand; Whirlwind HAR-3 version; no. could be 8
257,Austria,     OSCE**,6,Camcopter S-100,UAV,2014,2014-2015,6,For OSCE observation misison in eastern Ukraine
258,Austria,     Poland,5,DA20,Light aircraft,2012,2013,5,For training
259,Austria,     Saudi Arabia,5,CG-45 155mm,Towed gun,1989,1990,5,Original order for 50; rest cancelled after withdrawal of export licence in 1990
261,Austria,     Spain,20,M-16,Diesel engine,2000,2002-2004,20,For 20 Bv-206S APC from Sweden
262,Austria,     Sweden,2,M-16,Diesel engine,1989,1989,2,For 2 Bv-206S APC produced in Sweden
265,Austria,     Thailand,6,CG-45 155mm,Towed gun,1987,1988,6,$7 m deal; GHN-45 version
272,Austria,     Tunisia,54,SK-105 Kurassier,Light tank,1976,1979,54,
274,Austria,     Turkmenistan,10,Survivor-2,APC,2010,2011,10,
275,Austria,     Uganda,1,DA42,Light aircraft,2017,2018,1,
276,Austria,     United Kingdom,198,Pinzgauer 6x6,APC,2006,2007,198,Vector version; for use in Afghanistan and Iraq
280,Austria,     United States,20,DA40,Light aircraft,2009,2009,20,Lease; or training; US designation T-52A
282,Austria,     Venezuela,6,DA42MPP,Reconnaissance ac,2008,2009-2012,6,Probably for MP
285,Austria,     Yugoslavia,500,FAMOS,Diesel engine,1962,1964-1975,500,For M-60P APC produced in Yugoslavia
288,Bahamas, Denmark,1,BN-2 Islander,Light transport ac,2015,2015,1,Second-hand; BN-2A-21 version
291,Bahrain, Chile,1,Bell-412,Helicopter,2000,2001,1,Second-hand
294,Bangladesh, Singapore,2,Bell-205/UH-1D,Helicopter,1984,1984,2,Second-hand (modernized in Singapore before delivery); AB-205 version
297,Belarus, Afghanistan,4,Mi-24V/Mi-35,Combat helicopter,2018,2019,4,Second-hand; financed by India
298,Belarus,     Viet Nam,20,Vostok-E,Air search radar,2013,2017-2019,9,Assembled or produced in Viet Nam as RV-02
299,Belarus,     Algeria,2,Su-24/Fencer,Bomber aircraft,1997,1997,2,Second-hand; Su-24MR reconnaissance version
301,Belarus,     Angola,21,BMP-1,IFV,1993,1993,21,Second-hand; sold via Bulgarian company
317,Belarus,     Armenia,10,D-30 122mm,Towed gun,2006,2007,10,Second-hand
318,Belarus,     Azerbaijan,60,T-72M1,Tank,2004,2005-2006,60,Second-hand
326,Belarus,     China,5,Il-76M,Transport aircraft,2011,2013,5,Second-hand; incl 2 Il-76MD and 3 Il-76TD version; ordered via Russia
327,Belarus,     Cote d'Ivoire,10,2B11 120mm,Mortar,2002,2002,10,Second-hand
338,Belarus,     Djibouti,2,Mi-24P/Mi-35P,Combat helicopter,2004,2005,2,Second-hand
339,Belarus,     DR Congo,6,BM-21 Grad 122mm,Self-propelled MRL,1997,1997,6,Second-hand
340,Belarus,     Eritrea,2,S-125M/SA-3B,SAM system,2005,2005,2,Second-hand but modernized to S-125-2T before delivery
343,Belarus,     Ethiopia,40,T-55,Tank,1998,1998,40,Second-hand
345,Belarus,     Hungary,100,T-72M1,Tank,1996,1996,100,Second-hand; $13 m deal
346,Belarus,     Iran,37,T-72M1,Tank,1999,2000-2002,37,Possibly second-hand; supplier could be Russia (as part of Iranian production of T-72)
348,Belarus,     Iraq,9,Su-25,Ground attack ac,2015,2015-2016,9,Second-hand
349,Belarus,     Libya HoR,4,Mi-24P/Mi-35P,Combat helicopter,2014,2015,4,Second-hand; acquired and financed via UAE
350,Belarus,     Morocco,100,T-72B,Tank,1999,1999-2000,100,Second-hand but modernized before delivery; incl 12 T-72BK version
351,Belarus,     Myanmar,100,3M9/SA-6,SAM,2014,2015-2016,100,Second-hand (but modernized before delivery); for Kvadrat-M SAM systems; supplier uncertain
353,Belarus,     Nepal,2,Mi-8MT/Mi-17,Transport helicopter,2002,2003,2,Second-hand; financed by UK for police use against Maoist rebels on condition not to be used in offensive or armed role
354,Belarus,     Nigeria,2,Mi-24P/Mi-35P,Combat helicopter,2009,2010,2,Second-hand
355,Belarus,     Pakistan,1920,9M119 Svir/AT-11,Anti-tank missile,1996,1997-1999,1920,For T-80UD tank; status uncertain
356,Belarus,     Peru,100,Kh-25/AS-10,ARM,1996,1997,100,Probably second-hand; part of $402 m deal; Kh-25ML (AS-10B) version for Su-25 combat aircraft; ordered after experiences in 1995 war with Ecuador
364,Belarus,     Rwanda,2,Mi-24V/Mi-35,Combat helicopter,1997,1998,2,Second-hand
366,Belarus,     Serbia,4,MiG-29S,FGA aircraft,2017,2019,4,Second-hand but modernized before delivery; aid
367,Belarus,     Sierra Leone,2,Mi-24V/Mi-35,Combat helicopter,1994,1995,2,Second-hand; $9 m deal; for use against RUF rebels; operated by Belarusian crew; possibly supplied from Ukraine
369,Belarus,     Sudan,6,Mi-24V/Mi-35,Combat helicopter,1996,1996,6,Second-hand
386,Belarus,     Syria,300,Igla/SA-18,Portable SAM,2003,2003,300,$30-100 m deal; supplier uncertain
388,Belarus,     Turkmenistan,4,Caracal,Tank destroyer,2010,2011,4,
390,Belarus,     Uganda,2,Mi-24P/Mi-35P,Combat helicopter,1997,1998,2,Second-hand; $9 m deal; 4 ordered but 2 cancelled after delivery of first 2 revealed aircraft not modernized as specified in contract
395,Belarus,     Viet Nam,5,S-125T Pechora-2T,SAM system,2008,2014-2016,5,Vietnamese S-125 (SA-3) rebuilt to S-125TM Pechora-2TM
396,Belarus,     Yemen,27,T-72B,Tank,2000,2000,27,Second-hand; modernized before delivery
401,Belgium, Indonesia,14,CM-90 90mm,Tank turret,2016,2019,7,Produced in Indonesia for 14 Badak armoured fire support vehicles produced in Indonesia
402,Belgium,     Argentina,5,BDX,APC,1980,1980,5,For police; incl 1 CP version
404,Belgium,     Austria,7,Pandur-2,APC,2015,2015,7,Second-hand; incl 1 ambulance version
405,Belgium,     Bahrain,42,AIFV,IFV,2007,2008,42,Second-hand
408,Belgium,     Benin,2,HS-748,Transport aircraft,2002,2002,2,Second-hand (1 more delivered for spare parts)
411,Belgium,     Bolivia,1,SA-315B Lama,Light helicopter,1982,1982,1,Probably second-hand
412,Belgium,     Brazil,87,Leopard-1A1,Tank,1995,1997-1999,87,Second-hand
415,Belgium,     Bulgaria,1,Wielingen,Frigate,2004,2005,1,Second-hand but modernized before sale to Bulgaria; EUR23 m ($28 m) deal
418,Belgium,     Chad,82,AML-60/90,Armoured car,2006,2007-2010,82,Second-hand but modernized before delivery; Eland-90 version; ordered and delivered via France
419,Belgium,     Chile,20,Mirage-5,FGA aircraft,1994,1995-1996,20,Second-hand but modernized to MIRSIP for Belgium but sold to Chile; part of $54 m deal; incl 5 Mirage-5BP version; Chilean designation Elkan
423,Belgium,     DR Congo,15,M-3A1 Scout Car,APC/APV,1959,1960,15,Second-hand
434,Belgium,     Egypt,151,Valentine,Light tank,1953,1954-1955,151,Second-hand
435,Belgium,     Estonia,25,Mistral,Portable SAM,2010,2010,25,Second-hand
436,Belgium,     France,3,Tripartite,MCM ship,1997,1997,3,Second-hand; French designation Eridan
441,Belgium,     Indonesia,22,CM-90 90mm,Tank turret,2008,2013,22,For Black Fox IFV from South Korea; CSE-90 version
447,Belgium,     Jordan,50,Scorpion,Light tank,1999,2001,50,Second-hand
459,Belgium,     Katanga,1,DH-114 Heron,Light transport ac,1960,1960,1,Second-hand
461,Belgium,     Kuwait,62,CM-90 90mm,Tank turret,1984,1984-1986,62,For 62 V-300 Mk-2 IFV/AFSV from USA
463,Belgium,     Lebanon,22,AIFV,IFV,2007,2009-2010,22,Second-hand
465,Belgium,     Malaysia,24,SIBMAS,APC,1981,1984-1985,24,Part of $84 m deal
467,Belgium,     Mexico,401,AMX-VCI,APC,1994,1994-1996,401,Second-hand but some or most modernized before delivery; incl VTT/PM mortar carrier and ARV version; Mexican designation DNC-1
